sample_id,regime,decode_mode,sample_path,window,frames_260,duration_min,parse_errors,min_setpoint,max_setpoint,p05_setpoint,p50_setpoint,p95_setpoint,neutral_band_ratio,max_abs_delta,avg_abs_delta,p95_abs_delta,positive_ratio,negative_ratio
anchor_190101_window,anchor_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,abs:1773342240000.0->abs:1773342255000.0,630,0.25,0,-7707.0,344.0,-5630.85,-307.0,-32.9,0.0,776.0,53.763,264.0,0.008,0.992
partial_171414_ramp,partial_ramp_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,rel:390.0->rel:420.0,1254,0.5,0,-11819.0,1226.0,-7951.3,-32.0,687.0,0.002,809.0,75.169,269.0,0.149,0.851
compact_184921_ramp,compact_partial_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,rel:90.0->rel:105.0,632,0.25,0,-603.0,358.0,-342.45,-41.0,82.0,0.0,543.0,53.523,264.0,0.017,0.983
city_20260418_active_band4,city_active_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_seg_IGN_ON_20260418_163136_000.ndjson,rel:90.0->rel:120.0,1307,0.5,0,-7672.0,1361.0,-6356.7,-221.0,206.7,0.008,798.0,73.281,266.75,0.017,0.982
city_20260418_hold_early,city_hold_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,rel:1.0->rel:181.0,7410,3.0,0,-2959.0,26552.0,-512.0,-256.0,19196.0,0.001,5266.0,107.248,258.0,0.252,0.748
entry_20260426_s2_best,entry_bridge_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_045606_007.ndjson,abs:1777179519494.0->abs:1777179579494.0,2129,1.0,0,-1707.0,1902.0,-335.2,-166.0,1111.6,0.003,808.0,54.823,266.0,0.258,0.742
