"sample_id","sample_path","parse_errors","count_260","count_AA","count_90","count_127","count_371","count_101","count_108","count_116","count_131","count_2E4","aa_near_260_ratio","aa_transition_near_large260_ratio","n90_near_260_ratio","n127_after_260_ratio","n127_changed_after_260_ratio","n371_after_260_ratio","corr_260_to_371_b23_be","corr_260_to_371_b23_le","corr_260_to_191_b45","corr_260_to_191_b67"
"toyota_seg_IGN_ON_20260312_190101_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260312_190101_000.ndjson","0","17382","33746","33446","20906","1764","17403","17363","14475","14204","14040","0.937","0.02","0.937","0.895","0","0.228","0.063","0.032","-0.485","0.118"
"toyota_seg_IGN_ON_20260315_171414_000","D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_IGN_ON_20260315_171414_000.ndjson","0","27306","56301","55537","34527","2869","28662","28595","24011","23445","23441","0.947","0.086","0.945","0.893","0","0.229","0.123","-0.092","-0.151","-0.025"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","0","7877","15762","15622","9605","827","8001","8050","6690","6539","6505","0.949","0.241","0.95","0.893","0","0.24","0.859","0.198","-0.25","-0.653"
