sample_id,regime,decode_mode,sample_path,window,slew_limit,mode,parse_errors,frames_260,status,point_mae,point_p95_abs_error,delta_mae,delta_p95_abs_error,oversmoothed_ratio,undersmoothed_ratio,target_pos_saturation_ratio,target_neg_saturation_ratio,replay_pos_saturation_ratio,replay_neg_saturation_ratio
city_20260418_late_stop_approach,city_approach_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_seg_IGN_ON_20260418_181012_007.ndjson,rel:0.0->rel:29.0,175.0,identity,0,1288,ok,14.1,81.0,18.267,81.0,0.175,0.037,0.0,0.027,0.0,0.03
city_20260418_transition_settle,city_transition_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_seg_IGN_ON_20260418_181012_007.ndjson,rel:29.0->rel:59.0,175.0,identity,0,1318,ok,75.697,521.4,26.249,104.2,0.171,0.048,0.0,0.045,0.0,0.058
city_20260418_final_hold,city_final_hold_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_seg_IGN_ON_20260418_181012_007.ndjson,rel:59.0->rel:89.0,175.0,identity,0,1051,ok,8.885,81.0,17.71,82.0,0.21,0.028,0.0,0.0,0.0,0.0
