sample_id,regime,sample_path,slew_limit,mode,parse_errors,frames_260,status,point_mae,point_p95_abs_error,delta_mae,delta_p95_abs_error,oversmoothed_ratio,undersmoothed_ratio,target_pos_saturation_ratio,target_neg_saturation_ratio,replay_pos_saturation_ratio,replay_neg_saturation_ratio
compact_184921,compact_partial,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,25.0,identity,0,7877,ok,220.158,1082.4,67.366,262.25,0.225,0.339,0.0,0.0,0.0,0.0
compact_184921,compact_partial,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,50.0,identity,0,7877,ok,127.804,519.2,66.527,222.0,0.224,0.269,0.0,0.0,0.0,0.0
compact_184921,compact_partial,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,75.0,identity,0,7877,ok,84.989,381.2,63.266,195.0,0.223,0.22,0.0,0.0,0.0,0.0
city_20260418_175240,city_hold,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,25.0,bounded,0,12104,ok,1195.273,10437.0,119.422,281.0,0.379,0.38,0.098,0.013,0.081,0.002
city_20260418_175240,city_hold,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,50.0,bounded,0,12104,ok,1012.452,10214.0,117.269,266.9,0.38,0.309,0.098,0.013,0.085,0.003
city_20260418_175240,city_hold,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,75.0,bounded,0,12104,ok,940.539,10213.85,112.215,258.0,0.382,0.252,0.098,0.013,0.089,0.004
city_20260418_175240,city_hold,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,25.0,unbounded,0,12104,ok,879.799,5448.8,120.675,282.0,0.348,0.434,0.098,0.013,0.091,0.003
city_20260418_175240,city_hold,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,50.0,unbounded,0,12104,ok,492.905,2213.25,118.141,294.9,0.346,0.339,0.098,0.013,0.093,0.004
city_20260418_175240,city_hold,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,75.0,unbounded,0,12104,ok,365.143,1375.55,112.908,216.0,0.346,0.277,0.098,0.013,0.098,0.005
city_20260418_175240,city_hold,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,25.0,identity,0,12104,ok,879.799,5448.8,120.675,282.0,0.348,0.434,0.098,0.013,0.091,0.003
city_20260418_175240,city_hold,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,50.0,identity,0,12104,ok,492.905,2213.25,118.141,294.9,0.346,0.339,0.098,0.013,0.093,0.004
city_20260418_175240,city_hold,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,75.0,identity,0,12104,ok,365.143,1375.55,112.908,216.0,0.346,0.277,0.098,0.013,0.098,0.005
entry_20260426_015302,entry_side,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,25.0,bounded,0,12246,ok,340.123,1291.0,110.708,286.0,0.286,0.381,0.002,0.013,0.0,0.0
entry_20260426_015302,entry_side,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,50.0,bounded,0,12246,ok,254.509,760.5,110.361,306.0,0.281,0.316,0.002,0.013,0.0,0.001
entry_20260426_015302,entry_side,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,75.0,bounded,0,12246,ok,202.82,543.25,106.949,319.0,0.282,0.263,0.002,0.013,0.0,0.002
entry_20260426_015302,entry_side,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,25.0,unbounded,0,12246,ok,340.139,1291.0,110.71,286.0,0.286,0.381,0.002,0.013,0.0,0.0
entry_20260426_015302,entry_side,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,50.0,unbounded,0,12246,ok,254.557,760.5,110.362,306.0,0.28,0.316,0.002,0.013,0.0,0.001
entry_20260426_015302,entry_side,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,75.0,unbounded,0,12246,ok,208.143,548.0,107.049,320.0,0.28,0.263,0.002,0.013,0.0,0.004
entry_20260426_015302,entry_side,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,25.0,identity,0,12246,ok,340.139,1291.0,110.71,286.0,0.286,0.381,0.002,0.013,0.0,0.0
entry_20260426_015302,entry_side,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,50.0,identity,0,12246,ok,254.557,760.5,110.362,306.0,0.28,0.316,0.002,0.013,0.0,0.001
entry_20260426_015302,entry_side,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,75.0,identity,0,12246,ok,208.143,548.0,107.049,320.0,0.28,0.263,0.002,0.013,0.0,0.004
