"sample_id","sample_path","value_type_primary","ladder_level","grade","frame116_count","duration_min","seed_touch_present","ramp_present","phase_plateau_present","phase_exit_present","joined_lifecycle_strength","family_131_primary_zone","family_260_primary_zone","family_131_260_aligned","family_fff4_presence","corridor_match_strength","id_2e4_activity_level","id_d8_structural_reference_strength","companion_primary_mode","companion_b45_abs_corr","companion_b67_abs_corr","disengage_suspect_present","lane_change_transition_present","active_core_present","late_stop_present","bridge_candidate","top_tier_peak_count","parse_errors","notes"
"toyota_seg_IGN_ON_20260312_185607_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260312_185607_000.ndjson","companion_control","","D","1792","0.84","0","0","0","0","0","ffce","ffce","2","0","0","1","1","b6-b7","0.085","0.484","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260312_185704_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260312_185704_000.ndjson","companion_control","","D","1860","0.87","0","0","0","0","0","0007","0007","3","0","0","1","1","dual","0.046","0.046","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260312_185801_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260312_185801_000.ndjson","entry_side","","C","6103","2.88","0","1","0","0","0","0022","0022","3","1","1","1","1","b4-b5","0.383","0.156","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260312_190101_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260312_190101_000.ndjson","full_event","5","A","14475","7.04","1","1","1","1","3","f986","ffdb","3","1","1","1","1","b4-b5","0.485","0.118","","","","","no","2","0",""
"toyota_seg_UNKNOWN_20260311_184920_000","D:\Temp\20260312\raw_can_logs\toyota_seg_UNKNOWN_20260311_184920_000.ndjson","companion_control","","D","34","0.02","0","0","0","0","0","ffc3","ffc3","3","0","0","1","1","dual","0.188","0.188","","","","","no","0","0",""
"toyota_seg_UNKNOWN_20260311_185450_000","D:\Temp\20260312\raw_can_logs\toyota_seg_UNKNOWN_20260311_185450_000.ndjson","companion_control","","D","35","0.02","0","0","0","0","0","ff65","ff65","3","0","0","1","1","b4-b5","0.693","0.5","","","","","no","0","0",""
"toyota_seg_UNKNOWN_20260312_185606_000","D:\Temp\20260312\raw_can_logs\toyota_seg_UNKNOWN_20260312_185606_000.ndjson","companion_control","","D","34","0.02","0","0","0","0","0","ffce","ffce","3","0","0","1","1","dual","0.619","0.619","","","","","no","0","0",""
"toyota_seg_UNKNOWN_20260312_185800_000","D:\Temp\20260312\raw_can_logs\toyota_seg_UNKNOWN_20260312_185800_000.ndjson","companion_control","","C","35","0.02","0","0","0","0","0","0008","0008","3","0","1","1","1","dual","0.582","0.582","","","","","no","0","0",""
"toyota_seg_UNKNOWN_20260312_190100_000","D:\Temp\20260312\raw_can_logs\toyota_seg_UNKNOWN_20260312_190100_000.ndjson","companion_control","","C","37","0.02","0","0","0","0","0","0030","0016","2","0","1","1","1","dual","0.959","0.959","","","","","no","0","0",""
"toyota_all_20260314_173821_000","D:\Temp\20260312\raw_can_logs\20260314\raw_can_logs\toyota_all_20260314_173821_000.ndjson","entry_side","3","B","30225","14.42","1","1","0","0","1","0039","0039","3","1","1","1","1","b4-b5","0.272","0.009","","","","","no","0","0",""
