sample_id,regime,decode_mode,sample_path,slew_limit,mode,parse_errors,frames_260,status,point_mae,point_p95_abs_error,delta_mae,delta_p95_abs_error,oversmoothed_ratio,undersmoothed_ratio,target_pos_saturation_ratio,target_neg_saturation_ratio,replay_pos_saturation_ratio,replay_neg_saturation_ratio
anchor_190101,anchor,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,50.0,bounded,0,17382,ok,1677.406,8922.0,110.63,322.0,0.481,0.202,0.029,0.297,0.015,0.265
anchor_190101,anchor,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,75.0,bounded,0,17382,ok,1616.85,8900.7,107.439,344.0,0.485,0.167,0.029,0.297,0.018,0.273
anchor_190101,anchor,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,100.0,bounded,0,17382,ok,1578.73,8770.95,102.724,368.0,0.486,0.137,0.029,0.297,0.02,0.278
anchor_190101,anchor,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,50.0,identity,0,17382,ok,1002.847,5746.7,114.677,326.0,0.348,0.338,0.029,0.297,0.011,0.32
anchor_190101,anchor,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,75.0,identity,0,17382,ok,691.869,3894.75,110.578,349.0,0.347,0.287,0.029,0.297,0.016,0.308
anchor_190101,anchor,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,100.0,identity,0,17382,ok,524.466,2731.9,103.739,372.0,0.347,0.24,0.029,0.297,0.018,0.301
partial_171414,partial_ramp,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,50.0,bounded,0,27306,ok,261.876,725.0,69.036,254.0,0.27,0.25,0.0,0.058,0.0,0.053
partial_171414,partial_ramp,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,75.0,bounded,0,27306,ok,235.448,509.5,65.358,216.0,0.271,0.202,0.0,0.058,0.0,0.054
partial_171414,partial_ramp,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,100.0,bounded,0,27306,ok,221.012,444.75,60.128,185.0,0.271,0.161,0.0,0.058,0.0,0.056
partial_171414,partial_ramp,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,50.0,identity,0,27306,ok,179.88,696.75,69.995,228.0,0.246,0.278,0.0,0.058,0.0,0.066
partial_171414,partial_ramp,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,75.0,identity,0,27306,ok,107.875,381.0,66.25,200.0,0.245,0.226,0.0,0.058,0.0,0.061
partial_171414,partial_ramp,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,100.0,identity,0,27306,ok,68.438,257.0,60.534,173.0,0.245,0.183,0.0,0.058,0.0,0.059
compact_184921,compact_partial,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,50.0,bounded,0,7877,ok,141.713,538.6,63.41,220.0,0.232,0.252,0.0,0.036,0.0,0.023
