sample_id,regime,decode_mode,sample_path,slew_limit,mode,parse_errors,frames_260,status,point_mae,point_p95_abs_error,delta_mae,delta_p95_abs_error,oversmoothed_ratio,undersmoothed_ratio,target_pos_saturation_ratio,target_neg_saturation_ratio,replay_pos_saturation_ratio,replay_neg_saturation_ratio
partial_171414,partial_ramp,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,75.0,bounded,0,27306,ok,235.448,509.5,65.358,216.0,0.271,0.202,0.0,0.058,0.0,0.054
partial_171414,partial_ramp,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,25.0,identity,0,27306,ok,298.225,1759.5,70.678,264.0,0.252,0.333,0.0,0.058,0.0,0.071
partial_171414,partial_ramp,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,50.0,identity,0,27306,ok,179.88,696.75,69.995,228.0,0.246,0.278,0.0,0.058,0.0,0.066
partial_171414,partial_ramp,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,75.0,identity,0,27306,ok,107.875,381.0,66.25,200.0,0.245,0.226,0.0,0.058,0.0,0.061
compact_184921,compact_partial,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,25.0,bounded,0,7877,ok,220.158,1082.4,67.366,262.25,0.225,0.339,0.0,0.0,0.0,0.0
compact_184921,compact_partial,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,50.0,bounded,0,7877,ok,127.804,519.2,66.527,222.0,0.224,0.269,0.0,0.0,0.0,0.0
compact_184921,compact_partial,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,75.0,bounded,0,7877,ok,84.989,381.2,63.266,195.0,0.223,0.22,0.0,0.0,0.0,0.0
compact_184921,compact_partial,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,25.0,identity,0,7877,ok,220.158,1082.4,67.366,262.25,0.225,0.339,0.0,0.0,0.0,0.0
compact_184921,compact_partial,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,50.0,identity,0,7877,ok,127.804,519.2,66.527,222.0,0.224,0.269,0.0,0.0,0.0,0.0
compact_184921,compact_partial,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,75.0,identity,0,7877,ok,84.989,381.2,63.266,195.0,0.223,0.22,0.0,0.0,0.0,0.0
compact_184921,compact_partial,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,25.0,bounded,0,7877,ok,251.905,1365.4,64.61,249.0,0.233,0.318,0.0,0.036,0.0,0.018
compact_184921,compact_partial,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,50.0,bounded,0,7877,ok,141.713,538.6,63.41,220.0,0.232,0.252,0.0,0.036,0.0,0.023
compact_184921,compact_partial,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,75.0,bounded,0,7877,ok,91.218,380.2,59.924,194.0,0.235,0.204,0.0,0.036,0.0,0.029
compact_184921,compact_partial,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,25.0,identity,0,7877,ok,250.698,1365.4,64.616,247.25,0.225,0.321,0.0,0.036,0.0,0.021
compact_184921,compact_partial,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,50.0,identity,0,7877,ok,140.107,530.4,63.527,220.0,0.222,0.256,0.0,0.036,0.0,0.026
compact_184921,compact_partial,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,75.0,identity,0,7877,ok,82.861,341.2,60.138,193.0,0.221,0.211,0.0,0.036,0.0,0.031
city_20260418_175240,city_hold,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,25.0,bounded,0,12104,ok,1195.273,10437.0,119.422,281.0,0.379,0.38,0.098,0.013,0.081,0.002
city_20260418_175240,city_hold,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,50.0,bounded,0,12104,ok,1012.452,10214.0,117.269,266.9,0.38,0.309,0.098,0.013,0.085,0.003
city_20260418_175240,city_hold,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,75.0,bounded,0,12104,ok,940.539,10213.85,112.215,258.0,0.382,0.252,0.098,0.013,0.089,0.004
city_20260418_175240,city_hold,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,25.0,identity,0,12104,ok,879.799,5448.8,120.675,282.0,0.348,0.434,0.098,0.013,0.091,0.003
city_20260418_175240,city_hold,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,50.0,identity,0,12104,ok,492.905,2213.25,118.141,294.9,0.346,0.339,0.098,0.013,0.093,0.004
city_20260418_175240,city_hold,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,75.0,identity,0,12104,ok,365.143,1375.55,112.908,216.0,0.346,0.277,0.098,0.013,0.098,0.005
city_20260418_175240,city_hold,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,25.0,bounded,0,12104,ok,1198.327,8405.85,97.253,263.0,0.403,0.341,0.099,0.066,0.084,0.047
city_20260418_175240,city_hold,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,50.0,bounded,0,12104,ok,1060.264,7150.0,94.712,259.0,0.408,0.274,0.099,0.066,0.089,0.055
city_20260418_175240,city_hold,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,75.0,bounded,0,12104,ok,991.158,6896.7,89.404,257.0,0.411,0.221,0.099,0.066,0.093,0.058
city_20260418_175240,city_hold,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,25.0,identity,0,12104,ok,808.054,5366.4,99.039,277.0,0.345,0.425,0.099,0.066,0.091,0.061
city_20260418_175240,city_hold,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,50.0,identity,0,12104,ok,419.395,2273.85,96.367,224.0,0.343,0.332,0.099,0.066,0.093,0.06
city_20260418_175240,city_hold,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,75.0,identity,0,12104,ok,287.768,1480.55,90.823,196.0,0.343,0.269,0.099,0.066,0.098,0.061
entry_20260426_015302,entry_side,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,25.0,bounded,0,12246,ok,340.123,1291.0,110.708,286.0,0.286,0.381,0.002,0.013,0.0,0.0
entry_20260426_015302,entry_side,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,50.0,bounded,0,12246,ok,254.509,760.5,110.361,306.0,0.281,0.316,0.002,0.013,0.0,0.001
entry_20260426_015302,entry_side,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,75.0,bounded,0,12246,ok,202.82,543.25,106.949,319.0,0.282,0.263,0.002,0.013,0.0,0.002
entry_20260426_015302,entry_side,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,25.0,identity,0,12246,ok,340.139,1291.0,110.71,286.0,0.286,0.381,0.002,0.013,0.0,0.0
entry_20260426_015302,entry_side,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,50.0,identity,0,12246,ok,254.557,760.5,110.362,306.0,0.28,0.316,0.002,0.013,0.0,0.001
entry_20260426_015302,entry_side,legacy_ff_negative,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,75.0,identity,0,12246,ok,208.143,548.0,107.049,320.0,0.28,0.263,0.002,0.013,0.0,0.004
entry_20260426_015302,entry_side,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,25.0,bounded,0,12246,ok,341.053,1522.25,81.753,273.0,0.32,0.325,0.002,0.096,0.0,0.074
entry_20260426_015302,entry_side,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,50.0,bounded,0,12246,ok,297.121,1373.0,80.328,266.0,0.318,0.258,0.002,0.096,0.0,0.083
entry_20260426_015302,entry_side,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,75.0,bounded,0,12246,ok,271.288,1266.75,76.647,262.0,0.32,0.212,0.002,0.096,0.0,0.087
entry_20260426_015302,entry_side,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,25.0,identity,0,12246,ok,289.009,1437.5,82.636,280.0,0.283,0.369,0.002,0.096,0.0,0.108
entry_20260426_015302,entry_side,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,50.0,identity,0,12246,ok,162.699,686.5,81.696,287.0,0.277,0.302,0.002,0.096,0.0,0.098
entry_20260426_015302,entry_side,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_015302_000.ndjson,75.0,identity,0,12246,ok,106.556,438.0,77.885,217.8,0.277,0.251,0.002,0.096,0.0,0.095
